slug,left,top,right,bottom,face_top_frac,face_centre_frac,face_bottom_frac,clamped
brahim-diaz,1343,165,2738,1909,0.1502,0.2752,0.4002,False
breel-embolo,1314,0,2962,2060,0.1218,0.2468,0.3718,True
bremer,776,0,2504,2160,0.1806,0.3264,0.4722,True
brennan-johnson,1346,0,3156,2263,0.2408,0.3738,0.5068,True
brice-samba,0,274,2667,3608,0.15,0.3122,0.4745,True
bruno-fernandes,1264,0,2400,1420,0.1366,0.2616,0.3866,True
bruno-guimaraes,1114,112,2103,1348,0.1497,0.2747,0.3997,False
bryan-cristante,1775,0,3691,2396,0.1365,0.2615,0.3865,True
bryan-mbeumo,1026,0,2714,2111,0.099,0.2364,0.3738,True
bukayo-saka,1017,0,2745,2160,0.1806,0.335,0.4894,True
callum-hudson-odoi,1058,0,2786,2160,0.1463,0.3104,0.4745,True
callum-wilson,898,123,2216,1771,0.1499,0.2749,0.3999,False
carles-perez,1069,0,3735,3333,0.2751,0.4296,0.5842,True
carlos-augusto,515,0,2128,2016,0.1319,0.2569,0.3819,True
carlos-soler,1053,772,2070,2044,0.1502,0.2752,0.4002,False
casemiro,1055,0,2631,1971,0.2045,0.3513,0.4982,True
charles-de-ketelaere,1591,156,3195,2160,0.1816,0.3066,0.4316,True
cheick-doucoure,650,11,2026,1731,0.15,0.275,0.4,False
christian-norgaard,1311,136,1910,884,0.1497,0.2747,0.3997,False
christian-pulisic,1204,80,2612,1840,0.15,0.275,0.4,False
christoph-baumgartner,1627,0,3474,2309,0.1806,0.3062,0.4318,True
christopher-nkunku,1602,361,2322,1261,0.15,0.275,0.4,False
ciro-immobile,1370,312,2762,2052,0.15,0.275,0.4,False
cody-gakpo,1633,49,3693,2625,0.1498,0.2748,0.3998,False
cole-palmer,1326,29,2881,1973,0.1502,0.2752,0.4002,False
conor-gallagher,953,37,2317,1741,0.1502,0.2752,0.4002,False
cristian-romero,1387,0,2968,1977,0.217,0.3596,0.5023,True
cristiano-biraghi,2418,599,3353,1767,0.1498,0.2748,0.3998,False
cristiano-ronaldo,1256,0,2590,1668,0.1451,0.2701,0.3951,True
curtis-jones,902,97,1884,1325,0.1498,0.2748,0.3998,False
daichi-kamada,977,0,2312,1668,0.1061,0.2311,0.3561,True
dan-burn,1500,116,3478,2588,0.1501,0.2751,0.4001,False
dani-carvajal,1649,16,2686,1312,0.1497,0.2747,0.3997,False
dani-ceballos,1748,273,3476,2433,0.15,0.275,0.4,False
dani-olmo,1125,2,2449,1658,0.1498,0.2748,0.3998,False
dani-vivian,1289,0,4061,3465,0.3201,0.4456,0.5711,True
danilo,560,0,1424,1080,0.1787,0.3505,0.5222,True
danilo-pereira,1522,0,2514,1240,0.1355,0.2605,0.3855,True
danny-welbeck,859,701,2075,2221,0.15,0.275,0.4,False
darwin-nunez,917,634,2117,2134,0.15,0.275,0.4,False
david-alaba,634,3,1990,1699,0.1498,0.2748,0.3998,False
david-de-gea,1040,25,1990,1213,0.1498,0.2748,0.3998,False
david-hancko,1294,245,1962,1081,0.1495,0.2745,0.3995,False
david-neres,1121,114,2971,2426,0.1786,0.3036,0.4286,True
david-raum,1583,173,3129,2105,0.1501,0.2751,0.4001,False
david-raya,938,0,2666,2160,0.1014,0.244,0.3866,True
david-soria,1392,62,1888,682,0.15,0.275,0.4,False
davide-frattesi,678,0,2178,1874,0.1633,0.3146,0.4658,True
davide-zappacosta,1144,108,1810,940,0.1502,0.2752,0.4002,False
dayot-upamecano,1605,82,2430,1114,0.1502,0.2752,0.4002,False
declan-rice,984,0,2511,1908,0.1268,0.2518,0.3768,True
dejan-kulusevski,1000,0,2728,2160,0.1912,0.35,0.5088,True
denis-suarez,761,292,2108,1976,0.1502,0.2752,0.4002,True
denis-zakaria,1341,48,3105,2252,0.1692,0.2942,0.4192,True
deniz-undav,1088,0,2816,2160,0.0796,0.2234,0.3671,True
denzel-dumfries,1546,245,2318,1209,0.1504,0.2754,0.4004,False
destiny-udogie,1162,0,2890,2160,0.2366,0.3998,0.563,True
diego-llorente,1170,0,4139,3712,0.2578,0.4456,0.6334,True
diogo-costa,1521,3,3258,2175,0.1501,0.2751,0.4001,False
diogo-dalot,1906,77,3998,2693,0.1498,0.2748,0.3998,False
domenico-berardi,803,0,2692,2362,0.1935,0.3287,0.464,True
dominic-calvert-lewin,1190,0,2945,2193,0.129,0.2579,0.3867,True
dominic-solanke,1761,89,3236,1933,0.1502,0.2752,0.4002,False
dominik-szoboszlai,1354,0,3505,2688,0.1034,0.2333,0.3631,True
donyell-malen,1287,0,2993,2132,0.0633,0.1883,0.3133,True
dorde-petrovic,883,0,2111,1536,0.1172,0.2422,0.3672,True
douglas-luiz,1004,0,2598,1993,0.2494,0.4576,0.6658,True
dusan-vlahovic,998,555,2070,1895,0.15,0.275,0.4,False
duvan-zapata,1094,98,2128,1390,0.1502,0.2752,0.4002,False
ebere-eze,740,76,2237,1948,0.1501,0.2751,0.4001,False
eddie-nketiah,2569,322,4031,2150,0.1499,0.2749,0.3999,False
eder-militao,1216,0,2944,2160,0.037,0.1648,0.2926,True
ederson-fenerbahce,1115,0,2337,1528,0.0569,0.1819,0.3069,True
edin-dzeko,1033,0,2761,2160,0.138,0.3021,0.4662,True
edmond-tapsoba,2154,81,3425,1669,0.1499,0.2749,0.3999,False
edon-zhegrova,1254,66,1914,890,0.1505,0.2755,0.4005,False
edouard-mendy,1140,0,2868,2160,0.1463,0.3039,0.4616,True
edson-alvarez,18,0,2514,3120,0.1593,0.3106,0.4619,True
eduardo-camavinga,1065,0,2670,2007,0.0947,0.2394,0.3842,True
eljif-elmas,1828,0,4718,3613,0.1871,0.3201,0.4531,True
ellyes-skhiri,645,25,2709,2605,0.15,0.275,0.4,False
emile-smith-rowe,1038,60,2462,1840,0.15,0.275,0.4,False
emiliano-buendia,1122,118,3138,2638,0.15,0.275,0.4,False
emiliano-martinez,980,0,2708,2160,0.1292,0.2664,0.4037,True
emre-can,1068,0,3516,3060,0.1428,0.2678,0.3928,True
enes-unal,363,254,1710,1938,0.1502,0.2752,0.4002,False
enzo-fernandez,1058,0,2786,2160,0.0412,0.1752,0.3093,True
eric-garcia,833,84,2110,1680,0.1497,0.2747,0.3997,False
erling-haaland,1206,124,2333,1532,0.1499,0.2749,0.3999,False
evan-n-dicka,1097,36,2675,2008,0.1501,0.2751,0.4001,False
evanilson,934,0,2554,2025,0.4617,0.5926,0.7235,True
exequiel-palacios,1048,4,2488,1804,0.15,0.275,0.4,False
ezri-konsa,2052,300,2765,1192,0.1502,0.2752,0.4002,False
fabian,486,117,1718,1657,0.15,0.275,0.4,False
fabian-schar,1523,192,2240,1088,0.1496,0.2746,0.3996,False
fabinho,0,42,3333,4208,0.15,0.32,0.4899,True
fabio-vieira,2085,133,3873,2369,0.1498,0.2748,0.3998,False
facundo-medina,2306,0,5650,4181,0.3329,0.465,0.597,True
federico-bernardeschi,1129,42,2037,1178,0.1496,0.2746,0.3996,False
federico-chiesa,918,0,2314,1744,0.1336,0.2586,0.3836,True
federico-dimarco,982,0,2710,2160,0.0907,0.3,0.5093,True
federico-gatti,2311,58,3297,1290,0.1502,0.2752,0.4002,False
federico-valverde,1138,0,2617,1848,0.1071,0.2321,0.3571,True
felix-nmecha,961,0,2689,2160,0.1421,0.3234,0.5046,True
ferdi-kadioglu,1078,155,2834,2351,0.1498,0.2748,0.3998,False
ferland-mendy,1150,0,2950,2250,0.1142,0.2622,0.4102,True
ferran-torres,1720,70,2536,1090,0.15,0.275,0.4,False
fikayo-tomori,1438,8,2181,936,0.1498,0.2748,0.3998,False
florentino-luis,3234,133,4530,1753,0.15,0.275,0.4,False
florian-wirtz,1013,212,2290,1808,0.1497,0.2747,0.3997,False
francesco-acerbi,1103,110,2505,1862,0.1501,0.2751,0.4001,False
franck-kessie,1153,199,2119,1407,0.1498,0.2748,0.3998,False
fred,1086,386,2494,2146,0.15,0.275,0.4,False
fredrik-aursnes,1100,0,1848,936,0.1335,0.2585,0.3835,True
frenkie-de-jong,1444,86,2507,1414,0.1498,0.2748,0.3998,False
gabriel,1030,0,2758,2160,0.1056,0.2676,0.4296,True
gabriel-jesus,1441,0,3131,2112,0.0814,0.2064,0.3314,True
gabriel-martinelli,662,7,2093,1795,0.1499,0.2749,0.3999,False
gavi,1355,0,2997,2052,0.155,0.3009,0.4469,True
geoffrey-kondogbia,944,25,1959,1293,0.1498,0.2748,0.3998,False
gerard-moreno,1116,0,2921,2256,0.1294,0.2544,0.3794,True
giacomo-raspadori,636,31,1858,1559,0.1499,0.2749,0.3999,False
gianluca-mancini,1472,0,2896,1780,0.0944,0.2194,0.3444,True
gianluca-scamacca,1460,99,2164,979,0.15,0.275,0.4,False
gianluigi-donnarumma,823,0,2327,1881,0.1164,0.303,0.4896,True
giorgi-mamardashvili,398,0,2306,2384,0.2194,0.3695,0.5197,True
giorgio-scalvini,1452,212,2002,900,0.1497,0.2747,0.3997,False
giovani-lo-celso,1136,224,2832,2344,0.15,0.275,0.4,False
giovanni-di-lorenzo,1234,97,2482,1657,0.15,0.275,0.4,False
giovanni-simeone,1060,610,2324,2190,0.15,0.275,0.4,False
goncalo-guedes,1285,0,3134,2312,0.0402,0.1652,0.2902,True
goncalo-ramos,2076,0,3158,1352,0.0762,0.2012,0.3262,True
granit-xhaka,1398,0,3526,2660,0.1613,0.334,0.5068,True
gregor-kobel,1233,51,2477,1607,0.1497,0.2747,0.3997,False
guglielmo-vicario,1264,49,2659,1793,0.1502,0.2752,0.4002,False
guido-rodriguez,1718,168,4080,3120,0.1501,0.2751,0.4001,False
hakan-calhanoglu,912,0,2640,2160,0.112,0.3009,0.4898,True
harry-kane,855,0,2531,2096,0.1178,0.2428,0.3678,True
harry-maguire,1391,0,3667,2846,0.1827,0.3104,0.4382,True
harvey-barnes,1950,315,3310,2015,0.15,0.275,0.4,False
harvey-elliott,276,93,2535,2917,0.1501,0.2751,0.4001,False
hector-bellerin,857,0,2585,2160,0.2042,0.3405,0.4769,True
hector-herrera,963,0,2603,2051,0.198,0.3579,0.5178,True
henrikh-mkhitaryan,1132,0,2245,1392,0.1408,0.2658,0.3908,True
heung-min-son,1126,0,2691,1956,0.135,0.26,0.385,True
hidemasa-morita,1668,505,4759,4369,0.2896,0.4146,0.5396,True
iago-aspas,1709,35,3873,2739,0.1501,0.2751,0.4001,False
