Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price,Win Rate
Ademola Lookman,150.0,13541,0.0677,22422420.8,6.69e-06,0.3153
Allan Saint-Maximin,150.0,13434,0.0672,22241253.54,6.74e-06,0.3146
Edmond Tapsoba,148.0,10110,0.0505,22434223.54,6.6e-06,0.3145
Axel Disasi,148.0,10041,0.0502,22358828.8,6.62e-06,0.314
Pedro Gonçalves,150.0,11506,0.0575,22390057.36,6.7e-06,0.314
Micky van de Ven,147.0,14419,0.0721,21723559.19,6.77e-06,0.3138
Ederson,149.0,23011,0.1151,21510494.98,6.93e-06,0.3136
Mohammed Kudus,150.0,13293,0.0665,22405326.11,6.69e-06,0.3135
Édouard Mendy,150.0,15363,0.0768,21220725.12,7.07e-06,0.3134
Talisca,150.0,13351,0.0668,22297056.4,6.73e-06,0.3131
Davide Frattesi,149.0,65838,0.3292,15734758.04,9.47e-06,0.3127
Isco,150.0,11300,0.0565,22485840.71,6.67e-06,0.3123
Alessio Romagnoli,148.0,9802,0.049,22490104.06,6.58e-06,0.3119
Jonas Hofmann,150.0,10708,0.0535,22180799.4,6.76e-06,0.3114
Xaver Schlager,147.0,5904,0.0295,22334688.35,6.58e-06,0.3111
Sadio Mané,150.0,13535,0.0677,22372515.7,6.7e-06,0.3107
Luis Suárez,150.0,9020,0.0451,22280598.67,6.73e-06,0.3105
Otávio,150.0,11363,0.0568,22297720.67,6.73e-06,0.3104
Alexandr Golovin,149.0,7995,0.04,22300562.85,6.68e-06,0.3101
Nico Williams,149.0,11009,0.055,22132800.44,6.73e-06,0.3093
Boubacar Kamara,147.0,5768,0.0288,22232142.86,6.61e-06,0.3089
Ciro Immobile,150.0,9165,0.0458,22071467.54,6.8e-06,0.3087
Emre Can,147.0,11433,0.0572,22266246.83,6.6e-06,0.3084
Matheus Nunes,149.0,10834,0.0542,22408805.61,6.65e-06,0.3082
Ferran Torres,150.0,13143,0.0657,22245986.46,6.74e-06,0.3081
Rico Henry,145.0,10819,0.0541,21799334.5,6.65e-06,0.3079
Takefusa Kubo,149.0,12999,0.065,22203323.33,6.71e-06,0.3079
