Name,Nation,Age,Club,Position,League
Arthur,Brazil,29,Juventus,CDM,Serie A
Joe Willock,England,26,Newcastle United,CM,Premier Division
Emre Can,Germany,32,Borussia Dortmund,"CB, CDM",Bundesliga
Nico Schlotterbeck,Germany,26,Borussia Dortmund,"CB, LB",Bundesliga
Sadio Mané,Senegal,34,Al-Nassr,"AMF, RW, LW, ST",Saudi Pro League
Bradley Barcola,France,23,PSG,"RW, LW, ST",Ligue 1 Uber Eats
Marquinhos,Brazil,32,PSG,"CB, CDM",Ligue 1 Uber Eats
Matteo Ruggeri,Italy,24,Atletico Madrid,LB,First Division
Robin Gosens,Germany,32,Schalke 04,"LB, LM",Bundesliga
Jamal Musiala,Germany,23,Bayern Munich,"AMF, RW, LW",Bundesliga
Harry Kane,England,32,Bayern Munich,"AMF, ST",Bundesliga
Romelu Lukaku,Belgium,33,Fenerbahçe,ST,Super League
Levi Colwill,England,23,Chelsea,"CB, LB",Premier Division
Jack Grealish,England,30,Manchester City,"AMF, RW, LW",Premier Division
Aleksandar Mitrovic,Serbia,31,Al-Rayyan,ST,Stars League
Duván Zapata,Colombia,35,Torino,ST,Serie A
Tyrone Mings,England,33,Aston Villa,"CB, LB",Premier Division
Gabriel Martinelli,Brazil,25,Arsenal,"RW, LW, ST",Premier Division
Youssef En-Nesyri,Morocco,29,Al-Ittihad,ST,Saudi Pro League
Alexander Sørloth,Norway,30,Atletico Madrid,ST,First Division
Kevin Trapp,Germany,36,Paris FC,GK,Ligue 1 Uber Eats
Leroy Sané,Germany,30,Galatasaray,"AMF, RW, LW",Super League
Otávio,Portugal,31,Al-Qadsiah,"AMF, RW, LW",First Division
Jorge Cuenca,Spain,26,Fulham,CB,Premier Division
Christoph Baumgartner,Austria,26,RB Leipzig,"AMF, ST",Bundesliga
Mateus Uribe,Colombia,35,Atlético Nacional,CDM,First Division
Terem Moffi,Nigeria,27,OGC Nice,ST,Ligue 1 Uber Eats
Nicolás Otamendi,Argentina,38,River Plate,CB,Premier Division
Harvey Elliott,England,23,Liverpool,"AMF, RW",Premier Division
