Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price
Ludovic Blas,140.0,5375,0.0537,22305674.42,6.28e-06
Pervis Estupiñán,155.0,5307,0.0531,22301677.03,6.95e-06
Justin Kluivert,140.0,5715,0.0571,22299387.58,6.28e-06
Rodrygo,168.0,6647,0.0665,22296073.42,7.53e-06
Lucas Torreira,150.0,2930,0.0293,22295221.84,6.73e-06
Ross Barkley,141.0,3828,0.0383,22292580.98,6.32e-06
Serge Gnabry,156.0,6709,0.0671,22291697.72,7e-06
Edmond Tapsoba,148.0,5073,0.0507,22288980.88,6.64e-06
Franck Kessié,155.0,2960,0.0296,22288851.35,6.95e-06
Jérémy Doku,153.0,6584,0.0658,22287818.96,6.86e-06
Igor,144.0,7177,0.0718,22287585.34,6.46e-06
Viktor Gyökeres,158.0,4471,0.0447,22286736.75,7.09e-06
Domenico Berardi,151.0,5160,0.0516,22286627.91,6.78e-06
Bruno Fernandes,171.0,5388,0.0539,22286005.94,7.67e-06
Giovanni Simeone,140.0,4657,0.0466,22285806.31,6.28e-06
Ibrahima Konaté,156.0,5028,0.0503,22285401.75,7e-06
Diego Llorente,140.0,5043,0.0504,22283363.08,6.28e-06
Gavi,154.0,3915,0.0391,22282758.62,6.91e-06
Tyrone Mings,145.0,7290,0.0729,22282716.05,6.51e-06
Dani Vivian,148.0,5680,0.0568,22280809.86,6.64e-06
Otávio,150.0,5667,0.0567,22279689.43,6.73e-06
Ismaël Bennacer,152.0,2867,0.0287,22279386.12,6.82e-06
Yeremy Pino,142.0,6814,0.0681,22277223.36,6.37e-06
Charles De Ketelaere,147.0,5068,0.0507,22276835.04,6.6e-06
Fikayo Tomori,152.0,5019,0.0502,22275951.38,6.82e-06
Florian Wirtz,152.0,5748,0.0575,22275400.14,6.82e-06
Javi Guerra,140.0,6033,0.0603,22274987.57,6.29e-06
Martin Terrier,147.0,6801,0.068,22274371.42,6.6e-06
Marcus Thuram,157.0,5459,0.0546,22270196.01,7.05e-06
Serhou Guirassy,152.0,4532,0.0453,22270079.44,6.83e-06
N'Golo Kanté,160.0,2858,0.0286,22269069.28,7.18e-06
Aymeric Laporte,150.0,5041,0.0504,22268597.5,6.74e-06
Iñaki Williams,159.0,6731,0.0673,22267716.54,7.14e-06
Patric,142.0,4891,0.0489,22266407.69,6.38e-06
Kingsley Coman,162.0,5541,0.0554,22264212.24,7.28e-06
Felix Nmecha,140.0,3935,0.0394,22263024.14,6.29e-06
Takefusa Kubo,149.0,6509,0.0651,22262713.17,6.69e-06
Nikola Vlaic,141.0,5770,0.0577,22261698.44,6.33e-06
Mateo Kovacic,152.0,2863,0.0286,22260216.56,6.83e-06
Gabriel,156.0,4946,0.0495,22259199.35,7.01e-06
Ebere Eze,148.0,3916,0.0392,22258171.6,6.65e-06
Rasmus Højlund,140.0,4520,0.0452,22256858.41,6.29e-06
Fabinho,150.0,5682,0.0568,22252727.91,6.74e-06
Gabriel Jesus,165.0,6630,0.0663,22252639.52,7.41e-06
Moussa Diaby,153.0,6727,0.0673,22250483.13,6.88e-06
Khephren Thuram,143.0,2879,0.0288,22250434.18,6.43e-06
Giacomo Raspadori,145.0,6839,0.0684,22249744.11,6.52e-06
Kostas Tsimikas,150.0,5311,0.0531,22248917.34,6.74e-06
Alessandro Buongiorno,143.0,5008,0.0501,22248801.92,6.43e-06
Edson Álvarez,151.0,5849,0.0585,22248076.59,6.79e-06
José Giménez,149.0,5091,0.0509,22247692.01,6.7e-06
Ansu Fati,153.0,6728,0.0673,22247175.98,6.88e-06
Riccardo Orsolini,145.0,5287,0.0529,22246264.42,6.52e-06
Ousmane Diomande,142.0,4830,0.0483,22242857.14,6.38e-06
Jan Paul van Hecke,147.0,5056,0.0506,22241099.68,6.61e-06
Milan kriniar,158.0,4930,0.0493,22240770.79,7.1e-06
Declan Rice,176.0,5695,0.057,22237752.41,7.91e-06
Ferland Mendy,156.0,5307,0.0531,22237422.27,7.02e-06
Vinícius Júnior,184.0,6479,0.0648,22237382.31,8.27e-06
Oleksandr Zinchenko,155.0,6195,0.0619,22236803.87,6.97e-06
Noah Okafor,140.0,6472,0.0647,22235939.43,6.3e-06
Gabriel Martinelli,160.0,6607,0.0661,22235659.15,7.2e-06
Federico Dimarco,157.0,7275,0.0727,22235463.92,7.06e-06
Ilkay Gündogan,167.0,3855,0.0386,22235019.46,7.51e-06
Theo Hernández,158.0,5318,0.0532,22233546.45,7.11e-06
Cheick Doucouré,144.0,3004,0.03,22232023.97,6.48e-06
Mateus Uribe,150.0,2828,0.0283,22229844.41,6.75e-06
Renato Sanches,140.0,3972,0.0397,22224068.48,6.3e-06
Alexander Sørloth,143.0,4542,0.0454,22223029.5,6.43e-06
João Palhinha,155.0,3017,0.0302,22222074.91,6.98e-06
Álvaro García,143.0,3244,0.0324,22220406.91,6.44e-06
Xaver Schlager,147.0,2995,0.03,22217362.27,6.62e-06
Christian Nørgaard,144.0,2896,0.029,22214779.01,6.48e-06
Gianluca Scamacca,143.0,4507,0.0451,22213667.63,6.44e-06
Leon Goretzka,157.0,3825,0.0382,22212026.14,7.07e-06
William Saliba,164.0,4950,0.0495,22210707.07,7.38e-06
Ángel Di María,158.0,6709,0.0671,22210463.56,7.11e-06
Marcão,144.0,5131,0.0513,22210095.5,6.48e-06
Alfred Duncan,140.0,2916,0.0292,22209876.54,6.3e-06
Ousmane Dembélé,167.0,5536,0.0554,22209356.94,7.52e-06
Sávio,141.0,5418,0.0542,22206718.35,6.35e-06
Malick Thiaw,144.0,5123,0.0512,22204372.44,6.49e-06
Antoine Griezmann,172.0,6744,0.0674,22203143.53,7.75e-06
Brennan Johnson,143.0,6760,0.0676,22200000.0,6.44e-06
Allan Saint-Maximin,150.0,6689,0.0669,22199132.9,6.76e-06
Ciro Immobile,150.0,4588,0.0459,22198343.5,6.76e-06
Beto,140.0,4361,0.0436,22197661.09,6.31e-06
Danilo Pereira,154.0,5765,0.0576,22196704.25,6.94e-06
Álvaro Morata,153.0,4560,0.0456,22193201.75,6.89e-06
Alphonso Davies,156.0,6274,0.0627,22193018.81,7.03e-06
Erling Haaland,188.0,4498,0.045,22189862.16,8.47e-06
Éder Militão,166.0,5071,0.0507,22187339.78,7.48e-06
Ben Chilwell,155.0,5451,0.0545,22183452.58,6.99e-06
Facundo Medina,141.0,5067,0.0507,22182948.49,6.36e-06
Julián Álvarez,153.0,6758,0.0676,22182746.37,6.9e-06
Dayot Upamecano,158.0,4918,0.0492,22182594.55,7.12e-06
Exequiel Palacios,148.0,2868,0.0287,22176778.24,6.67e-06
Frenkie de Jong,165.0,2905,0.029,22173493.98,7.44e-06
Memphis Depay,150.0,5803,0.058,22173358.61,6.76e-06
Umar Sadiq,142.0,4515,0.0452,22172978.96,6.4e-06
Ivan Toney,150.0,4528,0.0453,22172703.18,6.77e-06
Jonathan David,144.0,6701,0.067,22171168.48,6.49e-06
Yangel Herrera,143.0,3035,0.0303,22168698.52,6.45e-06
Luis Suárez,150.0,4416,0.0442,22168478.26,6.77e-06
Lorenzo Pellegrini,147.0,3837,0.0384,22168100.08,6.63e-06
Francesco Acerbi,152.0,4975,0.0498,22168040.2,6.86e-06
Florentino Luís,140.0,2924,0.0292,22166552.67,6.32e-06
Yannick Carrasco,155.0,7452,0.0745,22166532.47,6.99e-06
Joachim Andersen,147.0,5027,0.0503,22163914.86,6.63e-06
Andrej Kramaric,143.0,5231,0.0523,22162875.17,6.45e-06
Dávid Hancko,142.0,7126,0.0713,22162784.17,6.41e-06
Ellyes Skhiri,143.0,2977,0.0298,22161572.05,6.45e-06
Wataru Endo,143.0,2852,0.0285,22156732.12,6.45e-06
Heung-Min Son,170.0,5463,0.0546,22149734.58,7.68e-06
Kieran Tierney,152.0,7336,0.0734,22148309.71,6.86e-06
Evanilson,146.0,4569,0.0457,22147078.14,6.59e-06
Benoît Badiashile,147.0,4942,0.0494,22146499.39,6.64e-06
Sergio Ramos,151.0,5003,0.05,22144713.17,6.82e-06
Pascal Groß,149.0,3788,0.0379,22143611.4,6.73e-06
Granit Xhaka,152.0,2857,0.0286,22143157.16,6.86e-06
Brahim Díaz,150.0,5353,0.0535,22142350.08,6.77e-06
Dan Burn,140.0,7176,0.0718,22142279.82,6.32e-06
Manuel Ugarte,152.0,2942,0.0294,22141740.31,6.86e-06
Séko Fofana,140.0,2945,0.0295,22141256.37,6.32e-06
Álex Moreno,151.0,6345,0.0635,22138691.88,6.82e-06
Loïs Openda,148.0,4619,0.0462,22137475.64,6.69e-06
Reiss Nelson,147.0,5651,0.0565,22131127.23,6.64e-06
Billy Gilmour,143.0,2827,0.0283,22129112.13,6.46e-06
Richarlison,145.0,6619,0.0662,22128871.43,6.55e-06
Randal Kolo Muani,155.0,6687,0.0669,22128458.2,7e-06
Raphinha,154.0,5475,0.0548,22124931.51,6.96e-06
Matías Vecino,140.0,2916,0.0292,22124828.53,6.33e-06
Luke Shaw,159.0,7154,0.0715,22124685.49,7.19e-06
Leon Bailey,145.0,5472,0.0547,22122624.27,6.55e-06
