Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price,Win Rate
Mario Paalic,141.0,3846,0.0385,56130265.21,2.51e-06,0.1264
Karim Adeyemi,142.0,11162,0.1116,47431822.25,2.99e-06,0.126
Gonçalo Guedes,141.0,11145,0.1115,48151458.05,2.93e-06,0.1258
Kevin Danso,140.0,8326,0.0833,48761109.78,2.87e-06,0.1258
Santi Comesaña,140.0,4799,0.048,52986247.13,2.64e-06,0.125
Ðorde Petrovic,141.0,12759,0.1276,38391409.99,3.67e-06,0.125
Samuel Chukwueze,142.0,9296,0.093,49505163.51,2.87e-06,0.1245
Antony,141.0,8632,0.0863,49209684.89,2.87e-06,0.1243
Sávio,141.0,9359,0.0936,49606047.65,2.84e-06,0.1239
Santiago Giménez,141.0,7643,0.0764,49232631.17,2.86e-06,0.1235
Álvaro Fidalgo,140.0,6480,0.0648,53508950.62,2.62e-06,0.1235
Cole Palmer,140.0,9524,0.0952,48631772.36,2.88e-06,0.1224
Rasmus Højlund,140.0,7558,0.0756,50167769.25,2.79e-06,0.1224
Ludovic Blas,140.0,9058,0.0906,49514903.95,2.83e-06,0.1218
Beto,140.0,7514,0.0751,49691908.44,2.82e-06,0.1214
Justin Kluivert,140.0,9405,0.0941,48768633.71,2.87e-06,0.1213
Jérémie Boga,141.0,6639,0.0664,53287242.05,2.65e-06,0.1213
Michele Di Gregorio,140.0,12903,0.129,38292102.61,3.66e-06,0.1208
Walter Benítez,140.0,12799,0.128,38786077.04,3.61e-06,0.1208
Harvey Barnes,140.0,9565,0.0957,49327652.9,2.84e-06,0.1206
Enes Ünal,140.0,7602,0.076,48937384.9,2.86e-06,0.1205
Borja Mayoral,140.0,7624,0.0762,50073976.92,2.8e-06,0.1204
Kevin Trapp,140.0,12853,0.1285,37606239.79,3.72e-06,0.1202
Duván Zapata,140.0,7418,0.0742,49218522.51,2.84e-06,0.1201
Callum Hudson-Odoi,140.0,9665,0.0967,48989032.59,2.86e-06,0.1199
Daichi Kamada,140.0,3980,0.0398,55753015.08,2.51e-06,0.1196
Noah Okafor,140.0,11071,0.1107,47354168.55,2.96e-06,0.1196
Sebastian Szymanski,140.0,9650,0.0965,49064870.47,2.85e-06,0.1194
Moise Kean,140.0,10877,0.1088,45880022.06,3.05e-06,0.119
Giovanni Simeone,140.0,7695,0.077,50412345.68,2.78e-06,0.1188
Álvaro García,143.0,5551,0.0555,53447306.79,2.68e-06,0.1178
Jesper Karlsson,140.0,10978,0.1098,47455000.91,2.95e-06,0.1164
Christoph Baumgartner,140.0,8675,0.0868,49179596.54,2.85e-06,0.116
Takumi Minamino,140.0,6628,0.0663,53166716.96,2.63e-06,0.1126
