Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price
Felix Nmecha,140.0,14511,0.1451,141844876.3,9.9e-07
Ivan Ilic,140.0,14669,0.1467,141757720.36,9.9e-07
Renato Sanches,140.0,14561,0.1456,141751871.44,9.9e-07
Takumi Minamino,140.0,20195,0.2019,141309878.68,9.9e-07
Álvaro Fidalgo,140.0,20413,0.2041,141250526.63,9.9e-07
Giovani Lo Celso,140.0,23097,0.231,141198034.38,9.9e-07
Duván Zapata,140.0,23536,0.2354,141084551.33,9.9e-07
Borja Mayoral,140.0,23512,0.2351,141073324.26,9.9e-07
Beto,140.0,23380,0.2338,141044867.41,9.9e-07
Christoph Baumgartner,140.0,25097,0.251,141042754.11,9.9e-07
Luiz Felipe,140.0,26099,0.261,141040806.16,9.9e-07
Rasmus Højlund,140.0,23384,0.2338,141039642.49,9.9e-07
James Tarkowski,140.0,25739,0.2574,141038540.74,9.9e-07
Giovanni Simeone,140.0,23249,0.2325,141036216.61,9.9e-07
Diego Llorente,140.0,25751,0.2575,141022834.06,9.9e-07
Kevin Danso,140.0,26066,0.2607,141016918.59,9.9e-07
Kristoffer Ajer,140.0,27859,0.2786,141016798.88,9.9e-07
Alejandro Catena,140.0,26023,0.2602,141010337.01,9.9e-07
Enes Ünal,140.0,23456,0.2346,141006522.85,9.9e-07
Nayef Aguerd,140.0,25862,0.2586,141002861.34,9.9e-07
Philipp Lienhart,140.0,25663,0.2566,140996025.41,9.9e-07
Robert Andrich,140.0,27660,0.2766,140951084.6,9.9e-07
Javi Guerra,140.0,33036,0.3304,140894902.53,9.9e-07
Ludovic Blas,140.0,32426,0.3243,140885616.48,9.9e-07
Sebastian Szymanski,140.0,32948,0.3295,140884302.54,9.9e-07
Justin Kluivert,140.0,32871,0.3287,140862705.73,9.9e-07
Cole Palmer,140.0,32911,0.3291,140852511.32,9.9e-07
Callum Hudson-Odoi,140.0,32693,0.3269,140847031.47,9.9e-07
Harvey Barnes,140.0,32712,0.3271,140842443.14,9.9e-07
Noah Okafor,140.0,36642,0.3664,140812210.03,9.9e-07
Moise Kean,140.0,36397,0.364,140801522.1,9.9e-07
Jesper Karlsson,140.0,36781,0.3678,140801092.96,9.9e-07
Ben Davies,140.0,38624,0.3862,140731255.18,9.9e-07
Yuri,140.0,33384,0.3338,140717559.31,9.9e-07
Dan Burn,140.0,38540,0.3854,140716813.7,9.9e-07
Kenny Tete,140.0,38583,0.3858,140701759.84,1e-06
Sacha Boey,140.0,38702,0.387,140686088.57,1e-06
Tino Livramento,140.0,44130,0.4413,140676297.3,1e-06
Aaron Hickey,140.0,43851,0.4385,140668673.46,1e-06
Odilon Kossounou,140.0,42056,0.4206,140650917.82,1e-06
Ferdi Kadioglu,140.0,44019,0.4402,140639382.99,1e-06
Alexis Saelemaekers,140.0,44816,0.4482,140631493.22,1e-06
Federico Bernardeschi,140.0,47880,0.4788,140625730.99,1e-06
Davide Zappacosta,140.0,43883,0.4388,140614816.67,1e-06
Walter Benítez,140.0,67204,0.672,140371644.54,1e-06
Michele Di Gregorio,140.0,67256,0.6726,140357276.67,1e-06
Kevin Trapp,140.0,67267,0.6727,140336955.71,1e-06
